freq,nace_r2_1,sizeclas,s_adj,indic_em,geo,time,value
Q,A-T,TOTAL,SA,JVR,NL,2023-Q2,4.5
Q,A-T,TOTAL,SA,JVR,NL,2023-Q3,4.4
Q,A-T,TOTAL,SA,JVR,NL,2023-Q4,4.4
Q,A-T,TOTAL,SA,JVR,NL,2024-Q1,4.4
Q,A-T,TOTAL,SA,JVR,NL,2024-Q2,4.3
Q,A-T,TOTAL,SA,JVR,NL,2024-Q3,4.2
Q,A-T,TOTAL,SA,JVR,NL,2024-Q4,4.3
Q,A-T,TOTAL,SA,JVR,NL,2025-Q1,4.2
Q,A-T,TOTAL,SA,JVR,NL,2025-Q2,4.1
Q,A-T,TOTAL,SA,JVR,NL,2025-Q3,4.1
Q,A-T,TOTAL,SA,JVR,NL,2025-Q4,4.0
Q,A-T,TOTAL,SA,JVR,NL,2026-Q1,
Q,A-T,TOTAL,SA,JVR,NL,2026-Q2,
Q,A-T,TOTAL,SA,JVR,PL,2001-Q1,
Q,A-T,TOTAL,SA,JVR,PL,2001-Q2,
Q,A-T,TOTAL,SA,JVR,PL,2001-Q3,
Q,A-T,TOTAL,SA,JVR,PL,2001-Q4,
Q,A-T,TOTAL,SA,JVR,PL,2002-Q1,
Q,A-T,TOTAL,SA,JVR,PL,2002-Q2,
Q,A-T,TOTAL,SA,JVR,PL,2002-Q3,
Q,A-T,TOTAL,SA,JVR,PL,2002-Q4,
Q,A-T,TOTAL,SA,JVR,PL,2003-Q1,
Q,A-T,TOTAL,SA,JVR,PL,2003-Q2,
Q,A-T,TOTAL,SA,JVR,PL,2003-Q3,
Q,A-T,TOTAL,SA,JVR,PL,2003-Q4,
Q,A-T,TOTAL,SA,JVR,PL,2004-Q1,
Q,A-T,TOTAL,SA,JVR,PL,2004-Q2,
Q,A-T,TOTAL,SA,JVR,PL,2004-Q3,
Q,A-T,TOTAL,SA,JVR,PL,2004-Q4,
Q,A-T,TOTAL,SA,JVR,PL,2005-Q1,
Q,A-T,TOTAL,SA,JVR,PL,2005-Q2,
Q,A-T,TOTAL,SA,JVR,PL,2005-Q3,
Q,A-T,TOTAL,SA,JVR,PL,2005-Q4,
Q,A-T,TOTAL,SA,JVR,PL,2006-Q1,
Q,A-T,TOTAL,SA,JVR,PL,2006-Q2,
Q,A-T,TOTAL,SA,JVR,PL,2006-Q3,
Q,A-T,TOTAL,SA,JVR,PL,2006-Q4,
Q,A-T,TOTAL,SA,JVR,PL,2007-Q1,
Q,A-T,TOTAL,SA,JVR,PL,2007-Q2,
Q,A-T,TOTAL,SA,JVR,PL,2007-Q3,
Q,A-T,TOTAL,SA,JVR,PL,2007-Q4,
Q,A-T,TOTAL,SA,JVR,PL,2008-Q1,
Q,A-T,TOTAL,SA,JVR,PL,2008-Q2,
Q,A-T,TOTAL,SA,JVR,PL,2008-Q3,
Q,A-T,TOTAL,SA,JVR,PL,2008-Q4,
Q,A-T,TOTAL,SA,JVR,PL,2009-Q1,
Q,A-T,TOTAL,SA,JVR,PL,2009-Q2,
Q,A-T,TOTAL,SA,JVR,PL,2009-Q3,
Q,A-T,TOTAL,SA,JVR,PL,2009-Q4,
Q,A-T,TOTAL,SA,JVR,PL,2010-Q1,0.6
Q,A-T,TOTAL,SA,JVR,PL,2010-Q2,0.6
Q,A-T,TOTAL,SA,JVR,PL,2010-Q3,0.6
Q,A-T,TOTAL,SA,JVR,PL,2010-Q4,0.6
Q,A-T,TOTAL,SA,JVR,PL,2011-Q1,0.6
Q,A-T,TOTAL,SA,JVR,PL,2011-Q2,0.6
Q,A-T,TOTAL,SA,JVR,PL,2011-Q3,0.5
Q,A-T,TOTAL,SA,JVR,PL,2011-Q4,0.5
Q,A-T,TOTAL,SA,JVR,PL,2012-Q1,0.5
Q,A-T,TOTAL,SA,JVR,PL,2012-Q2,0.5
Q,A-T,TOTAL,SA,JVR,PL,2012-Q3,0.4
Q,A-T,TOTAL,SA,JVR,PL,2012-Q4,0.4
Q,A-T,TOTAL,SA,JVR,PL,2013-Q1,0.4
Q,A-T,TOTAL,SA,JVR,PL,2013-Q2,0.4
Q,A-T,TOTAL,SA,JVR,PL,2013-Q3,0.4
Q,A-T,TOTAL,SA,JVR,PL,2013-Q4,0.4
Q,A-T,TOTAL,SA,JVR,PL,2014-Q1,0.5
Q,A-T,TOTAL,SA,JVR,PL,2014-Q2,0.5
Q,A-T,TOTAL,SA,JVR,PL,2014-Q3,0.5
Q,A-T,TOTAL,SA,JVR,PL,2014-Q4,0.6
Q,A-T,TOTAL,SA,JVR,PL,2015-Q1,0.6
Q,A-T,TOTAL,SA,JVR,PL,2015-Q2,0.6
Q,A-T,TOTAL,SA,JVR,PL,2015-Q3,0.6
Q,A-T,TOTAL,SA,JVR,PL,2015-Q4,0.7
Q,A-T,TOTAL,SA,JVR,PL,2016-Q1,0.7
Q,A-T,TOTAL,SA,JVR,PL,2016-Q2,0.7
Q,A-T,TOTAL,SA,JVR,PL,2016-Q3,0.8
Q,A-T,TOTAL,SA,JVR,PL,2016-Q4,0.8
Q,A-T,TOTAL,SA,JVR,PL,2017-Q1,0.9
Q,A-T,TOTAL,SA,JVR,PL,2017-Q2,0.9
Q,A-T,TOTAL,SA,JVR,PL,2017-Q3,1.0
Q,A-T,TOTAL,SA,JVR,PL,2017-Q4,1.1
Q,A-T,TOTAL,SA,JVR,PL,2018-Q1,1.1
Q,A-T,TOTAL,SA,JVR,PL,2018-Q2,1.2
Q,A-T,TOTAL,SA,JVR,PL,2018-Q3,1.2
Q,A-T,TOTAL,SA,JVR,PL,2018-Q4,1.2
Q,A-T,TOTAL,SA,JVR,PL,2019-Q1,1.1
Q,A-T,TOTAL,SA,JVR,PL,2019-Q2,1.1
Q,A-T,TOTAL,SA,JVR,PL,2019-Q3,1.1
Q,A-T,TOTAL,SA,JVR,PL,2019-Q4,1.0
Q,A-T,TOTAL,SA,JVR,PL,2020-Q1,0.6
Q,A-T,TOTAL,SA,JVR,PL,2020-Q2,0.6
Q,A-T,TOTAL,SA,JVR,PL,2020-Q3,0.7
Q,A-T,TOTAL,SA,JVR,PL,2020-Q4,0.8
Q,A-T,TOTAL,SA,JVR,PL,2021-Q1,0.9
Q,A-T,TOTAL,SA,JVR,PL,2021-Q2,1.1
Q,A-T,TOTAL,SA,JVR,PL,2021-Q3,1.2
Q,A-T,TOTAL,SA,JVR,PL,2021-Q4,1.3
Q,A-T,TOTAL,SA,JVR,PL,2022-Q1,1.3
Q,A-T,TOTAL,SA,JVR,PL,2022-Q2,1.1
Q,A-T,TOTAL,SA,JVR,PL,2022-Q3,1.0
Q,A-T,TOTAL,SA,JVR,PL,2022-Q4,1.0
Q,A-T,TOTAL,SA,JVR,PL,2023-Q1,0.9
Q,A-T,TOTAL,SA,JVR,PL,2023-Q2,0.9
Q,A-T,TOTAL,SA,JVR,PL,2023-Q3,0.9
Q,A-T,TOTAL,SA,JVR,PL,2023-Q4,0.9
Q,A-T,TOTAL,SA,JVR,PL,2024-Q1,0.9
Q,A-T,TOTAL,SA,JVR,PL,2024-Q2,0.9
Q,A-T,TOTAL,SA,JVR,PL,2024-Q3,0.9
Q,A-T,TOTAL,SA,JVR,PL,2024-Q4,0.8
Q,A-T,TOTAL,SA,JVR,PL,2025-Q1,0.8
Q,A-T,TOTAL,SA,JVR,PL,2025-Q2,0.8
Q,A-T,TOTAL,SA,JVR,PL,2025-Q3,0.8
Q,A-T,TOTAL,SA,JVR,PL,2025-Q4,0.8
Q,A-T,TOTAL,SA,JVR,PL,2026-Q1,0.8
Q,A-T,TOTAL,SA,JVR,PL,2026-Q2,
Q,A-T,TOTAL,SA,JVR,RO,2001-Q1,
Q,A-T,TOTAL,SA,JVR,RO,2001-Q2,
Q,A-T,TOTAL,SA,JVR,RO,2001-Q3,
Q,A-T,TOTAL,SA,JVR,RO,2001-Q4,
Q,A-T,TOTAL,SA,JVR,RO,2002-Q1,
Q,A-T,TOTAL,SA,JVR,RO,2002-Q2,
Q,A-T,TOTAL,SA,JVR,RO,2002-Q3,
Q,A-T,TOTAL,SA,JVR,RO,2002-Q4,
Q,A-T,TOTAL,SA,JVR,RO,2003-Q1,
Q,A-T,TOTAL,SA,JVR,RO,2003-Q2,
Q,A-T,TOTAL,SA,JVR,RO,2003-Q3,
Q,A-T,TOTAL,SA,JVR,RO,2003-Q4,
Q,A-T,TOTAL,SA,JVR,RO,2004-Q1,
Q,A-T,TOTAL,SA,JVR,RO,2004-Q2,
Q,A-T,TOTAL,SA,JVR,RO,2004-Q3,
Q,A-T,TOTAL,SA,JVR,RO,2004-Q4,
Q,A-T,TOTAL,SA,JVR,RO,2005-Q1,
Q,A-T,TOTAL,SA,JVR,RO,2005-Q2,
Q,A-T,TOTAL,SA,JVR,RO,2005-Q3,
Q,A-T,TOTAL,SA,JVR,RO,2005-Q4,
Q,A-T,TOTAL,SA,JVR,RO,2006-Q1,
